title,date,run_time,genre,rating,introduction,director,stars,num_votes
Ambuja,2023-07-21,120,"Drama, Horror, Thriller",,Based on a Real Life Incident that occurred in a Lambani Household.,"Srini Hanumantharaju, Srini","Shubha Poonja, Padmaja Rao, Govinde Gowda, Sharanayya",
Day and Night: Part 2,2023-07-21,98,Thriller,,After Julia sacrificed herself. Terrence breaks the light which causes an explosion in which brings everyone back. But something has unleashed which causes strange activities amongst ...,Benjamin Barlow,"Benjamin Barlow, Cambria Camilleri, Jay Grimm, Jayde Hardesty",
Aflatoon,2023-07-21,,Comedy,,"Three friends Shri,Adi and Manav decide to help a girl Durdevi Maria who has been dumped.",Paritosh Painter,"Johny Lever, Siddarth Jadhav, Paritosh Painter, Jayesh Thakkar",
Yokkiyan,2023-07-21,121,Thriller,,The villain tries to steal the protagonist's sperm sample to torture the hero and the heroine. Will the villain be successful?,Saipraba Meena,"Chaams, Jai Akash, Rs Kavitha, Kushi Mugar Ji",
Don Kumara,2023-07-21,,"Action, Crime",,"A middle class boy who faces lot of struggle in his childhood grows up to become a stubborn man . Due to his stubbornness and short temper , he comes across a Incident which leads him to becomes a Don of Bangalo",Nagesh Kumar .N,"Namrita Malla, Prakruthi Koushtubha, V. Chandra Shekar, Sahana Malathker",
Golden Stripes,2023-07-21,,Drama,,"Tyrone, a young man who embarks on a fulfilling journey as an artist following a tumultuous start in life. Subjected to horrific abuse in a foster home that violated their duty of care.",Peace Osigbe,"Ray Calleja, Lori Brett, Habida Moloney, Isobel Moon",
Jilebi,2023-07-21,,"Horror, Thriller",,,Vijay K. Bhaskar,"Rajendra Prasad, Shivani Rajashekar, Ankith Koyya, Sree Kamal",
Lunga,2023-07-21,90,Drama,,"Namsang is an unemployed youth living in the village of Fidim. He likes a girl named Gauki Chesung very much, but Chesung's father does not like the boy at all. But Namsang chases Chesung away, then he has an enmity with Chesung's father.",Kiran Rai,"Prakash Dahal, Bhim Sherma Limbu, Bhuwan Singh Rai, Sara Rai",
Osomatsusan: Tamashii no takoyaki pâtî to densetsu no otomarikai,2023-07-21,,"Animation, Comedy",,,Hikaru Yamaguchi,"Takahiro Sakurai, Yûichi Nakamura, Hiroshi Kamiya, Jun Fukuyama",
Eternite,2023-07-21,,"Adventure, Scifi, Thriller",,A boy who makes an AI for his homework but that AI gets out of his control and copies itself in every smart electronic device in the world.,Rudra Yadav,"Shivam Saxena, Lakshya Mishra",
Coming to Africa: Welcome to Ghana,2023-07-21,,"Comedy, Drama",,,Anwar Jamison,"Py Addo Boateng, Kwaku Brown, Nadia Buari, David Dontoh",
Silüet,2023-07-21,,Horror,,,Bugra Kekik,"Altug Seckiner, Tuncay Gençkalan, Gulsah Buktur, Yagmur Demircioglu",
Okkade Veerudu,2023-07-21,,History,,"Rama Raju's father told Rama Raju in his childhood that we are living as slaves in our country, and the king was angry with the British. At the age of 16, the king returned to Uttara Deshatana and returned to Manya.",Venkat Pampana,Siva Indukuri,
Madhura Kavya,2023-07-21,,,,,Madhusudan,,
Paramvah,2023-07-21,,,,"The life of Param, Who becomes a drug addict following his breakup. Will he recover from his addiction and fulfill his ancestral dreams?",Santosh Kaidala,"Avinash, Mukund Maigur, Maithri J Kashyap, Ganesh Heggodu",
Tuzyat Me,2023-07-21,,,,,Shankar Chaudhari,"Shaktivir Dhiral, Bharat Ganeshpure, Prajakta Shinde, Heena Panchal",
Nimmellara Aashirvada,2023-07-21,,"Comedy, Drama",,"After fulfilling his parents dreams for his career, a happy-go-lucky cop begins to rethink his purpose and what it truly means to be in his profession.",Ravikiran Bhat,"Payal Radhakrishna, Aravind Bolar, Swathi Gurudath, Govinde Gowda",
Window Seat,2023-07-21,,Thriller,,"A man spots his high school bully on a plane trip, and is pushed into a battle of wits. Meanwhile, his company and personal life are thrust into the national spotlight. Will he be able to ...",Hooroo Jackson,,
He Killed in Ecstasy,2023-07-22,80,Horror,,"A young doctor kills himself after a medical committee terminates his research into human embryos, considering it too inhumane.",Nikolai Malden,"Ellen Wing, Miles Jonn-Dalton, Antonio Mayans, Pauline Peart",
Babylon 5: The Road Home,2023-07-22,79,"Animation, Scifi",,John Sheridan finds himself transported through multiple timelines and alternate realities in a quest to find his way back home.,Matt Peters,"Bruce Boxleitner, Claudia Christian, Paul Guyet, Anthony Hansen",
Stay Online,2023-07-22,,Drama,,"During the war, a small boy calls the laptop of his missing dad, but it happens to be at a volunteer girl's. The boy asks her to find his parents. But to save the boy's family, she has to risk the lives of her loved ones.",Eva Strelnikova,"Oleksandr Rudynskyy, Ekaterina Kisten, Olesya Zhurakivska, Elizaveta Zaitseva",
The Becomers,2023-07-22,,Comedy,,"A body-snatching alien comes to Earth, reconnects with their partner, and tries to find their way in modern America.",Zach Clark,"Russell Mael, Frank V. Ross, Keith Kelly, Molly Plunk",
Killing the Muse,2023-07-22,,Comedy,,"A struggling film director at an existential crossroads takes his life, but is reborn as his muse and forced to face the decisions and relationships that inspired his work.",Steven J. Martin,"Steven J. Martin, Kozue Ito, Chika Kinoshita, Nana Akuzawa",
Outed,2023-07-22,86,Drama,,"Oliver, a recent high school graduate, is kicked out of his house after his parents find out he is gay. He struggles to make it on his own as he tries to find a way to pay for college.",Blake Arthur,"Tyler Bey, Hailey Ibberson",
Pillangó Parádé,2023-07-22,,"Comedy, Crime",,,Dániel Zátonyi,"Sára Sajgál, Dániel Zátonyi, Tamás Kövári, István Mikó",
"Lovely, Dark, and Deep",2023-07-23,87,Horror,,"Lennon, a new back-country ranger, travels alone through the dangerous wilderness, hoping to uncover the origins of a tragedy that has haunted her since she was a child.",Teresa Sutherland,"Georgina Campbell, Nick Blood, Wai Ching Ho, Maria de Sá",
The Primevals,2023-07-23,,"Adventure, Scifi",,A Civilization lost in time invaded one million years ago.,David Allen,"Juliet Mills, Leon Russom, Walker Brandt, Robert Cornthwaite",
Haunted by My Stalker,2023-07-23,,Thriller,,Dr. Hope Connors escaped her stalker and decides to move her family to the suburbs for a fresh start. But when odd signs that her stalker is back start up again she is thrust back into her fear and paranoia.,Doug Campbell,"Alissa Filoramo, Juliana Destefano, Jon Briddell, Phillip Andre Botello",
Il più bel secolo della mia vita,2023-07-23,,Comedy,,"In our country there is a law, still in force and unique in Europe, which prohibits children not recognized at birth, from becoming aware of the identity of their natural parents unless ...",Alessandro Bardani,"Sandra Milo, Sergio Castellitto, Carla Signoris, Elena Lander",
Avengers: Doom of the World,2023-07-23,75,"Action, Adventure",,,Jackson Buffington,"Ross K. Foad, Thea Solone, Jackson Buffington, Steve Stanley",
Bhoogatha,2023-07-23,,Action,,,Mohan K O,"Aravinnd Iyer, Rahul Ainapur, Shilpa Joshi, Rajiva Lochan",
Greater Works,2023-07-23,,Family,,,Adesoji Adedoja,Modupe Adedoja,
"Celui qui se bat pour quelque chose, c'est pour lui la chose",2023-07-23,,Drama,,,,"Boureima Badolo, Arthur Banhoro, Toussaint Bathieno, Aicha Saidi Diarra",
Quest,2023-07-23,,Thriller,,,Antonina Obrador,"Laia Manzanares, Enric Auquer, Miquel Gelabert, Maria Arnal",
Marco & Luna,2023-07-24,,"Comedy, Romance",,"A love story where the paths of two strangers cross, only for them to be promptly separated by chance. Though physically they'll only be a few feet away, if only they knew this.",Gabriel Lozano Marchand,"Enrique Arrizon, Valeria Castillo, Omar Fierro, Aldo Bringas",
Prime,2023-07-24,94,"Drama, Horror, Thriller",,"A proud man's traumas and prejudice push away his loving partner, opening him to the seduction of an ancient evil.",Thabiso Christopher,"Richard Gau, Nomsa Twala, Jasmine Hazi, Michael Lawrence Potter",
Booger,2023-07-24,78,"Comedy, Fantasy, Horror",,,Mary Dauterman,"Grace Glowicki, Garrick Bernard, Marcia DeBonis, Sofia Dobrushin",
Devils Lake,2023-07-25,90,"Mystery, Thriller",,Jake Barker thought he left Devils Lake...but Devils Lake never left him. As soon as he returns to Devils Lake murders begin to happen again.,Ted Pfeifer,"Justin Ament, Ted Pfeifer, Ryan Deal, Alysse Fozmark",
Holistay,2023-07-25,,Horror,,"Two couples, who do not know each other, double book a vacation house in San Diego and strange events begin to happen. ""Things are not as they appear.""",Mary Patel-Gallagher,"Steven Martini, Erin Gavin, Gavin O'Fearraigh, Bailee Bob Sveen",
The Strange Case of Normalcy,2023-07-25,,Drama,,"""The Strange Case of Normalcy"" is a subtle examination of how each of us lives on the edge of normalcy while we construct an illusion of ""the normal"" by which we define ourselves.",Nishi Chawla,"Avery Kellington, David Patrick Wittle, Griffin Duy, Donald Truong",
Smugglers,2023-07-26,129,"Action, Crime",,"N 1970s, at Guncheon(a small village near sea), there were Haenyeos(women divers who are able to dive w/o equipments), including two best friends Chun-ja and Jin-sook, Jin-sook's brother ...",Seung-wan Ryu,"Kim Hye-su, Zo In-sung, Yum Jung-ah, Kim Min Jae",
Hippo,2023-07-26,,"Comedy, Drama",,"Hippo, a peculiar adolescent, and his Hungarian step-sister Buttercup struggle to come of age in late 1990s America, under the roof of a mother who has been institutionalized at least once.",Mark H. Rapaport,"Kimball Farley, Lilla Kizlinger, Eliza Roberts, Jesse Pimentel",
The Doll: Creation,2023-07-26,73,Horror,,"A killer doll suddenly appears on Claive's house not knowing that it was haunted, Claive played with it and started to get nightmares.",Rein Alpajora,"Rein Alpajora, Empeds Casul, Arabella Convalecer, Princess Lising",
The Cheating Game,2023-07-26,,"Drama, Romance",,"The film follows the story of Hope (Julie), an idealistic young professional who thinks she can change the world and that she knows everything. Hope is devoted to her fiance and the ...",Rod Marmol,"Julie Anne San Jose, Rayver Cruz, Martin Del Rosario, Yayo Aguila",
Veuillez nous excuser pour la gêne occasionnée,2023-07-26,,Comedy,,"A railroad ticket controller who embarks on a wild ride through several train cars as he tries to pass an evaluation exam, but must fend off troublemakers, a rival colleague, escaped wildlife and emergency childbirth along the way.",Olivier Van Hoofstadt,"Elsa Zylberstein, Artus, Bérangère Mc Neese, Philippe Duquesne",
Les Déguns 2,2023-07-26,,,,,"Cyrille Droux, Claude Zidi Jr.","Bénédicte Vidal, Karim Jebli, Nordine Salhi",
Sur la branche,2023-07-26,,,,A young woman hitting a rough patch in life who ends up helping a lawyer threatened with disbarment by convincing him to represent a small-time crook claiming he is innocent. As Paul ...,Marie Garel-Weiss,"Daphne Patakia, Benoît Poelvoorde, Agnès Jaoui",
Met Summer Encore: Akhnaten,2023-07-26,,,,,,,
Caballo de Acero,2023-07-26,101,Drama,,"The SANTAMARIA family comes from a mining tradition, Daniel Santamaria ""Santa"" IS DIFFERENT; he has an overflowing passion for cycling, his father instilled it in him since he was a child, ...                See full synopsi","Luis Carlos Londoño, Jorge Roldan Gato","Luis Carlos Londoño, John Montoya, Fabio Restrepo, Andres Restrepo",
Babaylan,2023-07-26,,Fantasy,,,Bona Fajardo,"Marco Gallo, Fabio Ide, Jennifer Lee, Andrew Muhlach",
Zoey 102,2023-07-27,,"Comedy, Drama, Family",,Follows Zoey Brooks and the rest of the Pacific Coast Academy alumni as they catch up for a wedding in the present day.,Nancy Hower,"Thomas Lennon, Jamie Lynn Spears, Sean Flynn, Erin Sanders",
Happiness for Beginners,2023-07-27,103,"Comedy, Drama, Romance",,"Helen signs up for a wilderness survival course, a year after getting divorced. She discovers through this experience that sometimes, you have to get really lost in order to find yourself.",Vicky Wight,"Luke Grimes, Nico Santos, Ellie Kemper, Gus Birney",
The Slumber Party,2023-07-27,,"Comedy, Family",,"Follow the hilarious consequences of a sleepover birthday party hypnotism that went wrong as Megan, Page and Veronica, wake up with no memories of the night before.",Veronica Rodriguez,"Darby Camp, Tituss Burgess, Dallas Liu, Paula Pell",
Aporia,2023-07-27,,"Drama, Scifi",,"Since losing her husband, Sophie has struggled to manage grief, a full-time job, and parenting her devastated daughter, but when a former physicist reveals a secret time-bending machine, Sophie will be faced with an impossible choice.",Jared Moshe,"Edi Gathegi, Judy Greer, Payman Maadi, Faithe Herman",
Lassie - Ein neues Abenteuer,2023-07-27,,"Action, Drama, Family",,"Collie dog protagonist Lassie investigate the mysterious disappearances of several pedigree dogs, with the help of best friend Flo and new companions Henri, Kleo and little Pippa, a Jack Russell Terrier.",Hanno Olderdissen,"Katharina Schüttler, Justus von Dohnányi, Dennis Mojen, Annette Frier",
Dime lo que quieres (de verdad),2023-07-27,,"Comedy, Romance",,"Diego and Emilia are a conservative couple with 16 years of marriage who have lost their spark, until Tomas and Betina rescue and introduce them to the forbidden world, changing what they know about intimacy, relationships and sex.",Bruno Ascenzo,"Tony Dalton, Stephanie Cayo, Angie Cepeda, Manolo Cardona",
Sumpahan Jerunei,2023-07-27,105,"Horror, Mystery, Thriller",,"This film tells the story of the Melanau people's past history which is full of mystery, especially related to the burial customs of the nobles of the people.",Jason Chong,"Bront Palarae, Uqasha Senrose, Mohd Syafie Naswip, Amerul Affendi",
The Murderer,2023-07-27,120,"Comedy, Crime, Mystery",,"When an English man is accused of murdering his Thai in-laws, his wife is the only witness that stands between guilt and freedom.",Wisit Sasanatieng,"Phetthai Vongkumlao, Eisaya Hosuwan, James Laver, Sawanee Utoomma",
Hari Ini Akan Kita Ceritakan Nanti,2023-07-27,117,"Drama, Romance",,"The lives of Narendra and Ajeng intersect for the first time as past and present come together in this prequel to ""One Day We'll Talk About Today.""",Angga Dwimas Sasongko,"Jourdy Pranata, Yunita Siregar, Rio Dewanto, Agla Artalidia",
Where the Devil Roams,2023-07-27,,Horror,,Traces a family of murderous sideshow performers as it travels around the world on the dying carnival circuit.,"John Adams, Zelda Adams, Toby Poser","Zelda Adams, Toby Poser, John Adams",
Hai mai avuto paura?,2023-07-27,99,"Drama, Fantasy",,"Inspired by the work of an award-winning Italian novelist, this post-modern noir fantasy is centered on the image of a young poet and his aristocratic family. Set in the 1800s the plot ...",Ambra Principato,"Justin Korovkin, Lorenzo Ferrante, Elisa Pierdominici, Marta Paola Richeldi",
Safarzade,2023-07-27,130,"Action, Adventure, Drama",,,Chandramohan Nag,"Arnab Biswas, Sonali Kaur Sivia, Malkiat Singh, Kulwinder Singh",
Ketika Berhenti di Sini,2023-07-27,102,"Drama, Romance",,"Dita, a graphic designer torn between the holographic presence of her deceased love Ed and her current relationship with Ifan, must choose between the past and the present.",Umay Shahab,"Prilly Latuconsina, Bryan Domani, Refal Hady, Cut Mini Theo",
Dunia Tanpa Suara,2023-07-27,,"Drama, Romance",,"The opening day of Tea Shop ""Yang Bercerita"" will be the day that will change the story of Arissa's friendship with Kania and Arissa-Ezra's imperfect love.",Hanung Bramantyo,"Caitlin Halderman, Maxime Bouttier, Nasya Marcella, Chindy Karomah",
Paradise,2023-07-27,,"Scifi, Thriller",,,,"Dalila Abdallah, Numan Acar, Simon Amberger, Zemyna Asmontaite",
1134,2023-07-27,103,Thriller,,"Inspired from real ATM robberies that took place in Hyderabad, revolves around a series of sequential ATM robberies that have a pattern. Will the robbers be caught?",Ssharadh Chandra Tadimeti,"Krishna Madupu, Gangadhar Reddy, Phani Sharma, Phani Bhargav Madupu",
Litsoneras,2023-07-27,,Drama,,,Roman Perez Jr.,"Yen Durano, Jamilla Obispo, VR Relosa, Joko Diaz",
Za Palycha,2023-07-27,,"Comedy, War",,"About the life of a major guy who ends up in the army, rethinks his life and helps his grandfather save his house.",Andrey Bogatyrev,"Michael Gor, Irina Pegova, Ivan Okhlobystin, Konstantin Kryukov",
La Peor de mis Bodas 3,2023-07-27,,Comedy,,"Salvador and Maricielo have just moved. When everything seems perfect, Leonor, Salvador's mother, will turn things upside down once again by introducing Bruno Díaz Conde, her boyfriend who is nearly twenty years younger than her.",Adolfo Aguilar,"Gabriel Soto, Maricarmen Marín, Laura Zapata, Ismael La Rosa",
Mantra Surugana,2023-07-27,98,Horror,,The story revolves around a new female college student in a dormitory filled with mysterious occurrences due to the awakening of a demon through an incantation and curse that still holds a connection to her own past.,Dyan Sunu Prastowo,"Sitha Marino, Cindy Nirmala, Rania Putri Sari, Fergie Brittany",
RapeD,2023-07-27,105,Crime,,"Based on crime investigation. Story starts as serial rape and murder case investigation but, later on A.C.P. got to know there is involvement of drugs.",Ravi Sarma,"Gopal Krishna Akella, Vasista Choudhary, Karunya Chowdary, Vishva Karthikeya",
Mindtrance: 30 Frames,2023-07-27,,Musical,,,Eliecer Jiménez Almeida,,
The Beanie Bubble,2023-07-28,110,"Comedy, Drama",,Ty Warner was a frustrated toy salesman until his collaboration with three women grew his idea into the biggest toy craze in history.,"Kristin Gore, Damian Kulash","Sarah Snook, Geraldine Viswanathan, Elizabeth Banks, Zach Galifianakis",
Rocky Aur Rani Kii Prem Kahaani,2023-07-28,170,"Comedy, Drama, Family",,"Magnifies the power of love, embraces the complexities of relationships, and celebrates the beauty of both perfect and imperfect families.",Karan Johar,"Ranveer Singh, Alia Bhatt, Dharmendra, Varun Dhawan",
Shrapnel,2023-07-28,89,"Action, Thriller",,A former Marine and his old war buddy face off against the Mexican cartel behind the disappearance of his daughter.,William Kaufman,"Cam Gigandet, Jason Patric, Efrain Villa, Megan Elisabeth Kelly",
Sons of Summer,2023-07-28,,Action,,Four surfing sons plan a tribute 'surfari' to a small beach town for one of their fathers murdered three decades earlier. But some road trips are to die for.,Clive Fleury,"Isabel Lucas, Temuera Morrison, Joe Davidson, Christopher Pate",
Bro,2023-07-28,,"Drama, Family, Fantasy",,It follows an arrogant man who is given a second chance to fix his mistakes after death.,Samuthirakani,"Samuthirakani, Pawan Kalyan, Sai Dharam Tej, Ketika Sharma",
The Bastard Sons,2023-07-28,,"Crime, Thriller",,"Small-town gangsters seek revenge on the family, after an inside job leaves their Boss killed.",Kevin Interdonato,"Charles Malik Whitfield, Al Sapienza, Anastasia Ganias, Roger Mathews",
Kousalya Supraja Rama,2023-07-28,,"Comedy, Drama, Family",,,Shashank,"Achyuth Kumar, Darling Krishna, Milana Nagaraj, Brinda Acharya",
Voice of Sathyanathan,2023-07-28,135,"Comedy, Thriller",,,Raffi,"Anupam Kher, Dileep, Joju George, Johny Antony",
Corona Dhavan,2023-07-28,130,Comedy,,The film is set in a village and revolves around the lives of a group of alcoholics who face hardships during the COVID-19 lockdown.,C.C. Nithin,"Lukman Avaran, Sreenath Bhasi, Johny Antony, Sarath Sabha",
Aachar & Co,2023-07-28,,"Comedy, Drama",,"Set against the backdrop of 1960s Bangalore, follows the journey of a traditional family as they navigate the challenges of embracing modernity while honouring their root",Sindhu Sreenivasa Murthy,"Sindhu Sreenivasa Murthy, Jagadishwar Sukumar, Sudha Belawadi, Vamsidhar Bhogaraju",
Gaddi Jaandi Ae Chalaangaan Maardi,2023-07-28,,"Comedy, Drama",,"A doomed car is the center of comic situations in this story that follows Ammy Virk, who belongs to a middle-class family of 8. His materialistic father is convinced by him to let him marry...",Smeep Kang,"Ammy Virk, Binnu Dhillon, Jasmin Bajwa, Jaswinder Bhalla",
Kingdom: Unmei no Hono,2023-07-28,,"Action, History, War",,"It follows Li Xin and Wang Qi as they stand on the battlefield for the first time to fight off an invasion by Zhao, and it also follows Ying Zheng's unknown past.",Shinsuke Sato,"Kento Yamazaki, Ryô Yoshizawa, Kanna Hashimoto, Masami Nagasawa",
Hotel Labamba,2023-07-28,,"Comedy, Crime",,,Biodun Stephen,"Bimbo Ademoye, Blessing Jessica Obasi-Nze, Kachi Nnochiri, Lateef Adedimeji",
Christ Rising,2023-07-28,109,Thriller,,"As another year begins a man of God, American soldier Jake Reeves has come back after ten years from a life of war in the middle east, when he receives a call from his deathly ill father ...",Ron Atkins,"Rod Sweitzer, Tim Colceri, Camille Keaton, Lynn Lowry",
Delfines de plata,2023-07-28,,"Drama, Thriller",,A police commissioner will have to dismantle an African jihadist cell that threatens to blow up a luxury hotel.,Javier Elorrieta,"Rodolfo Sancho, Javier Morgade, Emilio Buale, Luis Fernández de Eribe",
Big Nunu's Little Heist,2023-07-28,91,"Action, Comedy, Crime",,An ex-soldier turned deliveryman is dragged into a local kingpin's bumbling gang to pull off a daring heist in an infamous South African township.,Andy Kasrils,"Daniel Hadebe, Kagiso Lediga, Mpho Popps, Thulane Shange",
Kunjamminis Hospital,2023-07-28,,"Comedy, Fantasy, Horror",,"When a set of locally rooted characters set out to explore the after life, their humorous stories connect each other to bring justice to their journey beyond.",Sanal Devan,"Prakash Raj, Nyla Usha, Indrajith Sukumaran, Baburaj",
Aani Baani,2023-07-28,,"Comedy, Drama",,"Abhimanyu in his fifties. An honest man, he minds his own business,married to Vimal for the past 20 years. However, Vimal still teases Abhimanyu to remarry. This story revolves around the ...",Dinesh Jagtap,"Sayaji Shinde, Pravin Tarde, Usha Naik, Upendra Limaye",
Angrej 2,2023-07-28,122,"Comedy, Romance",,,Simerjit Singh,"Ammy Virk, Ahmad Harhash, Amrinder Gill, Sargun Mehta",
Lilith Cinleri,2023-07-28,,Horror,,,,"Seda Tosun, Pinar Tok, Altug Seckiner, Gökhan Eryilmaz",
DD Returns,2023-07-28,,"Comedy, Horror",,,S. Prem Anand,"Santhanam, Pradeep Singh Rawat, Deepa Shankar, Motta Rajendran",
Dinosaurs,2023-07-28,,,,An unforgivable and outrageous act manipulated by a notorious gangster Salaiyar leads to a raging feud between him and an intrepid youngster Mannu.,M.R Madhavan,"Kavin Jay Babu, Rishi Rithvik, D. Maneksha, Udhay Karthik",
Kaygisiz Bas,2023-07-28,,Comedy,,,Iskender Bingol,"Ferdi Akarnur, Nilgün Atilgan, Erman Bacak, Tülay Balci",
Love,2023-07-28,,Thriller,,,R.P. Bala,"Vani Bhojan, Bharath Srinivasan, Swayam Siddha, Vivek Prasanna",
Oda,2023-07-28,,"Horror, Thriller",,"Oguz,who has placed a hidden camera in the house of his lover Deniz,whom he is jealous of,senses that there is something strange in the house from the images watched at night, and they decide to go to Deniz's house with his friend Cihan.",Bülent Orçin,"Sevim Oyar, Sila Dursun, Ceren Gülsah Elmali, Mustafa Zeren",
Irlande Cahier Bleu,2023-07-28,83,Comedy,,"Ducarmel is an anachronistic firefighter, a quotidian poet, and an expert soup-maker. And sometimes, he's the best basketball player of all time.",Olivier Godin,"Emery Habwineza, Étienne Pilon, Florence Blain Mbaye, Eve Duranceau",
Homefront,2023-07-28,,"Action, Drama",,,Brandon Brefka,"Angelina Danielle Cama, Justin Mane, Eleonora Mancini, Timothy James Smith",
Aura,2023-07-28,,Drama,,A beautiful and divine excursion of God's Play in an innocent life.,Ashwin Vijayamurthy,"Rohit, Deepika Aradhya, Anand Ninasam, Aishwarya Gowdaa",
Underground,2023-07-28,100,Horror,,After a wild bachelorette party a group of young women find themselves trapped in an underground bunker complex. A disturbing finding turns their night in an absolute nightmare. Will they be able to escape from this vast concrete maze?,Lars Janssen,"James Swanton, Cameron Ashplant, Charlotte Dawn Potter, Brandon Ashplant",
Unforgivable!,2023-07-28,,Drama,,,Osezuah Elimihe,"Sunday Aaron, Moses Chukwukadibia, Timini Egbuson, Victor Eriabie",
The Joy of Creation: Welcome Home,2023-07-28,,Horror,,,SwirlingVortex,"SwirlingVortex, Leo Garcia, Sins VA, Neil Vergara",
My Prayers are Precious to God,2023-07-28,97,"Crime, Drama",,"A young man returns home as he struggles to flee bad past business ties, only to find out that the family that he has abandoned needs him more than ever.",Michael Augustine,"Spenser Brown, Vante Gregory, Juliana Edge, Michael Augustine",
Nasha Jurm Aur Gangsters,2023-07-28,137,"Action, Crime, Drama",,"Three Gangsters, Jeet, Jacky, and Basu. They are the professional mafia in town of mumbai and want to become rich and more powerful. However, something is going to mend their ways unexpectedly.","Rajkumar Patra, Rocky Rupkumar Patra","Rocky Rupkumar Patra, Rajkumar Patra, Yudhisthir, Feroz Khan",
Barashi Fight,2023-07-28,89,"Action, Comedy",,,Yutaka Kainuma,"Kansuke Asano, Kazuyuki Asano, Hiroaki Fukui, Saki Hamao",
Nerchappetty,2023-07-28,,Drama,,A Love Story Between a Nun and a Village Boy and Its Consequenses on the Communit,Babu John Kockavayal,"Naira Nihar, Athul Suresh",
Honto Ni Atta! Noroi No Video 100,2023-07-28,97,Horror,,"April 2022, at an unknown MA studio. While Yoshihiro Nakamura is recording for the newest entry, Honto Ni Atta! Noroi No Video 96 (2022) a 24-year-old submitted video that was not used at the time is rediscovered.",Yoshihiro Nakamura,Yoshihiro Nakamura,
Ivanna,2023-07-28,,Drama,,,Prisca Zamble,"Michel Bohiri, Mahoula Kane, Stéphane Sebime, Siata Traoré",
Kaumarya,2023-07-28,,Drama,,"Owing to lack of livelihood opportunities, Shankar travels to his in-law's village along with his wife and two daughters Shraddha and Chamki. In the same village Suraj, a young bachelor who...",Salim Sheikh,"Nagesh Bhonsle, Milind Shinde, Devendra Dodke",
Ampir V,2023-07-29,116,"Drama, Fantasy",,Chronicles how loader Roman Shtorkin becomes a vampire and receives the title of Rama II.,Victor Ginzburg,"Igor Zhizhikin, Vladimir Epifantsev, Fedor Bondarchuk, Marina Zudina",
Summer of the Wolf,2023-07-29,,Horror,,"Jimmy and his family are on the run hiding out in a mysterious village meant to keep them safe, until his little sister is taken by something monstrous in the night.",Nicki Harris,"Anna Andersen, Micah Juman, Allison Ricci, Keenan Laurino",
Rajugari Kodipulao,2023-07-29,,"Comedy, Drama, Mystery",,"A group of friends ended up hopelessly in a deep forest during their reunion trip. Were they spookily haunted by a monstrous animal with a mischievous sense of humor, or was the monster just one of them, trying to scare the rest silly?",Shiva Kona,"Shiva Kona, P. Prabhakar, Neha Deshpande, Kunal Kaushik",
UFC 291,2023-07-29,180,,,,,,
Seek Shelter,2023-07-29,,Drama,,"Running late to his daughter's ballet recital due to his business flight being grounded in Houston instead of Dallas, Clayton has to make a sudden change of plans when the sirens and ...",Stephen Batts,"Stanley Nwobi, Larry Woods, Larry Woods, Nadia Dorise Clay",
What You Wish For,2023-07-30,101,Thriller,,A chef with gambling problems flees to a Latin American villa where he assumes another man's identity.,Nicholas Tomnay,"Nick Stahl, Tamsin Topolski, Randy Vasquez, Penelope Mitchell",
Cuckoo's Den,2023-07-30,,Drama,,,Michael Acland,"Kloud Milas, Valentin Perkovic, Christian Andrew, Chantelle Amos",
The Hard Time Zoo,2023-07-30,75,"Animation, Adventure, Comedy",,"A meteorite strike alters the intelligence of all the earth's land-bound animals giving them the ability to THINK and SPEAK as humans. World governments react by forcing the animals into a special facility that the PUBLIC believes to be are animal detainment centers called ""ZOOs"".",Ricardo Colon,"Terence Hampton, Chris Kondor, Anton Skul, Andrew Zibritosky",
3 El Zero,2023-07-30,,Drama,,,Mohamed Gamal El-Adl,,
Ninja Rùa: Hỗn Loạn Tuổi Dậy Thì,2023-07-31,99,"Animation, Action, Adventure",,The Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.,"Jeff Rowe, Kyler Spears","Ayo Edebiri, Rose Byrne, Natasia Demetriou, Jackie Chan",
Hypnosen,2023-07-31,98,"Comedy, Drama",,"André and Vera are a young entrepreneurial couple. They get the opportunity to pitch their female health app at a prestigious competition. Before going there, Vera tries hypnotherapy to ...",Ernst De Geer,"Asta Kamma August, Herbert Nordrum, Andrea Edwards, David Fukamachi Regnfors",
Brahmachari,2023-07-31,,"Comedy, Drama",,,Renigunta Narsing,"Gunta Mallesham, Roshni Razzak, Telangana Laxmi, Sirisha",
Singapore Saloon,2023-07-31,,"Comedy, Family",,Follows a young hairstylist who has a lot of dreams.,Gokul,"Lokesh Kanagaraj, Sathyaraj, Meenakshii Chaudhary, Jiiva",
Citlivý clovek,2023-07-31,120,Drama,,"""Growing old isn't for sissies,"" states one of the characters from Jáchym Topol's acclaimed novel, which, according to one reviewer, is ""a comical and brutal report from the flipside of ...",Tomás Klein,"Jirí Lábus, Tatiana Dyková, Jirí Schmitzer, Vladimír Javorský",
Night Explorers: The Asylum,2023-07-31,,Horror,,"When a group of Urban Explores get the chance of a lifetime to explore one of the world's most haunted asylums, they encounter something truly evil, that will not let them leave and will push them to the edge of sanity.",John K. Webster,"Hannah Al Rashid, Craig Edwards, Charlie Rich, Algina Lipskis",
